securityCode,securityName,scale,trackingIndex,trackIndex
515230.SH,软件ETF国泰,5451091357.5,软件指数,h30202.CSI
562800.SH,稀有金属ETF嘉实,5164061490,CS稀金属,930632.CSI
513530.SH,港股通红利ETF华泰柏瑞,5111535555.9,港股通高股息CNY,930915.CSI
159583.SZ,通信ETF富国,4987611206.892,通信设备主题,931271.CSI
515790.SH,光伏ETF华泰柏瑞,4843947610,光伏产业,931151.CSI
513060.SH,恒生医疗ETF博时,4828029574.3,恒生医疗保健指数,HSHCI.HI
510810.SH,上海国企ETF汇添富,4825290708,上海国企,950096.CSI
515800.SH,中证800ETF汇添富,4818320369.6,中证800,000906.SH
589720.SH,科创创新药ETF国泰,4743807417,科创新药,950161.CSI
159796.SZ,电池ETF汇添富,4712761234.7,CS电池,931719.CSI
159938.SZ,医药ETF广发,4562940627.624,全指医药,000991.SH
159262.SZ,港股通科技ETF广发,4514216474.79,恒生港股通科技主题指数,HSSCITI.HI
561380.SH,电网设备ETF国泰,4502328786,恒生A股电网设备指数,HSCAUPG.HI
159227.SZ,航空航天ETF华夏,4447618890.174,国证航天,CN5082.CNI
159691.SZ,港股红利ETF工银,4386758238.252,港股通高息精选,930839.CSI
159736.SZ,食品饮料ETF天弘,4357191996.146,CS食品饮,930653.CSI
159892.SZ,恒生医药ETF华夏,4216844285.556,恒生生物科技指数,HSBIO.HI
159859.SZ,生物医药ETF天弘,4208370901.168,生物医药,399441.SZ
159399.SZ,现金流ETF国泰,4191574691.815,富时中国A股自由现金流聚焦指数,888888.FI
159566.SZ,储能电池ETF易方达,4136710265.984,CNINEB,980027.CNI
512980.SH,传媒ETF广发,4133210886,中证传媒,399971.SZ
515000.SH,科技ETF华宝,4128680345.4,科技龙头,931087.CSI
512200.SH,房地产ETF南方,3946267917,房地产,931775.CSI
515170.SH,食品饮料ETF华夏,3931460360.3,细分食品,000815.CSI
513400.SH,道琼斯ETF鹏华,3925585344,道琼斯工业平均,DJI.GI
159883.SZ,医疗器械ETF永赢,3877292310.333,医疗器械,h30217.CSI
513920.SH,港股通央企红利ETF华安,3804791284,恒生港股通中国央企红利指数,HSSCSOY.HI
159901.SZ,深证100ETF易方达,3738784585.14,深证100,399330.SZ
159993.SZ,证券ETF鹏华,3657701397.462,证券龙头,399437.SZ
515900.SH,央企创新ETF博时,3657159339,央企创新,000861.CSI
159985.SZ,豆粕ETF华夏,3626727827.734,大商所豆粕期货价格指数,DCESMFI.DCE
